,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,J.J. Butler,2016,https://www.sports-reference.com//cbb/schools/lipscomb/2016.html,G,6-2,185,junior,32,0,12,8.7,.458,.333,0.3,.400,0.3,0.2,0.8,0.9,0.3,0.1,0.8,1.2,0.9,3.8,.504,.521,.375,2.0,9.3,17.3,9.4,-.005,-7.8,5,3,1,1,4,1.4654217609616693,0.9662265521087692,0.47495887979908324,0.24206145913796356,1.0711960313126632,undrafted
1,J.C. Hampton,2017,https://www.sports-reference.com//cbb/schools/texas-am/2017.html,G,6-0,175,senior,31,22,16,25.0,.392,.413,3.4,.786,1.8,0.1,1.8,1.8,0.5,0.0,1.1,2.0,6.7,10.2,.576,.533,.680,0.6,7.9,12.6,13.9,.092,0.9,21,5,2,0,4,5.3784941937203445,1.2806085962115616,0.7551419297238467,0.0,1.1495825600777716,undrafted
2,Dylan Greene,2015,https://www.sports-reference.com//cbb/schools/lipscomb/2015.html,G,6-4,195,junior,8,0,5,2.6,.000,.000,0.3,.500,0.5,0.1,0.1,0.3,0.0,0.0,0.1,0.4,0.3,0.4,.256,.000,1.000,5.2,5.5,16.1,11.6,-.034,-7.6,1,1,0,0,1,0.4330127018922193,0.4330127018922193,0.0,0.0,0.4330127018922193,undrafted
3,Deng Deng,2015,https://www.sports-reference.com//cbb/schools/baylor/2015.html,F,6-8,205,junior,23,0,20,8.8,.518,.000,0.1,.500,0.7,0.6,1.4,0.2,0.4,0.3,0.9,1.0,2.9,13.6,.519,.518,.054,8.1,18.4,5.5,21.5,.080,0.6,16,1,2,2,6,3.710201539423162,0.41247099915239727,0.5702120455914783,0.5289358721998452,1.8761260009036018,undrafted
4,Kris Gulley,2015,https://www.sports-reference.com//cbb/schools/florida-international/2015.html,G,6-7,195,junior,33,27,16,19.9,.388,.270,2.7,.563,0.5,0.7,2.4,0.7,0.7,0.2,1.0,1.8,4.3,9.1,.481,.475,.640,4.1,13.6,7.6,14.6,.064,-2.5,15,3,3,2,9,4.128780928545721,0.7890434282600932,0.7654139963827327,0.4575657233497424,2.586253126466893,undrafted
5,Gatete Djuma,2013,https://www.sports-reference.com//cbb/schools/long-beach-state/2013.html,F,6-9,214,freshman,11,0,5,2.1,.571,,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.2,0.7,13.9,.571,.571,.000,10.1,10.3,0.0,17.4,.069,-5.4,2,0,0,0,1,0.9620913858416693,0.0,0.0,0.0,0.4810456929208346,undrafted
6,Branford Jones ,2016,https://www.sports-reference.com//cbb/schools/long-beach-state/2016.html,G,6-1,175,senior,34,6,20,16.7,.340,.259,1.6,.694,1.1,0.7,1.9,1.5,0.7,0.0,1.1,1.4,4.0,8.9,.425,.389,.375,4.5,12.4,16.1,17.1,.046,-1.1,14,5,3,0,13,3.9888469078142426,1.2657314583147068,0.9557692240748189,0.0,2.62556634193786,undrafted
7,E.J. Reed,2014,https://www.sports-reference.com//cbb/schools/long-island-university/2014.html,F,6-6,200,sophomore,29,29,9,25.8,.440,.241,2.0,.682,5.4,1.6,4.0,0.6,0.3,1.1,2.4,3.5,12.3,15.1,.521,.466,.216,6.7,17.8,5.4,27.6,.042,-6.0,24,2,3,5,12,5.6085123005946524,0.7617490356680869,0.7083668477301427,1.2413793103448276,3.253827892989089,undrafted
8,D.J. Griggs,2014,https://www.sports-reference.com//cbb/schools/long-island-university/2014.html,G,6-0,170,sophomore,23,0,7,12.2,.362,.333,1.4,.793,1.3,0.2,0.6,0.5,0.3,0.0,0.7,1.2,3.7,8.1,.507,.442,.478,2.0,5.7,7.6,17.5,.015,-6.8,13,2,1,1,4,4.166206653875649,0.6507230237867725,0.4601306627938419,0.20393111999232305,1.0895620944471014,undrafted
9,Michael Kessens,2017,https://www.sports-reference.com//cbb/schools/florida-international/2017.html,F,6-9,223,senior,29,29,5,30.2,.565,.235,0.6,.691,3.3,2.5,6.5,1.1,0.9,0.6,2.4,3.1,12.9,21.6,.595,.572,.063,10.1,26.7,8.2,23.0,.128,0.5,21,4,3,2,23,4.338528548290097,1.2240165068481965,0.9593398443616246,0.6206896551724138,3.800932359491138,undrafted
