,name,season,school_url,position,height,weight,school_year,games_played,games_started,games_won,mpg,fg_pct,fg3_pct,fg3a,ft_pct,fta,off_rpg,def_rpg,apg,spg,bpg,tpg,fpg,ppg,per,ts_pct,eff_fg_pct,fg3a_rate,off_reb_pct,def_reb_pct,ast_pct,usg_pct,win_shares_40_min,plus_minus,max_points,max_assists,max_steals,max_blocks,max_rebounds,std_points,std_assists,std_steals,std_blocks,std_rebounds,draft
0,Kurt Samuels,2022,https://www.sports-reference.com//cbb/schools/william-mary/2022.html,F,6-5,230,sophomore,3,0,1,2.3,,,0.0,,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.0,-8.5,,,,0.0,16.7,0.0,7.1,-.119,-20.4,0,0,0,0,1,0.0,0.0,0.0,0.0,0.4714045207910317,undrafted
1,Adonis Arms,2022,https://www.sports-reference.com//cbb/schools/texas-tech/2022.html,G,6-6,205,senior,18,8,14,24.2,.475,.364,3.1,.667,1.8,0.9,3.1,2.2,0.9,0.3,2.1,1.0,8.6,16.0,.576,.559,.466,4.6,14.3,16.8,19.8,.169,6.5,15,5,4,2,9,4.462463472894045,1.536590742882148,0.9938079899999065,0.558326423395605,2.344549760667688,undrafted
2,Kelton Talford,2022,https://www.sports-reference.com//cbb/schools/winthrop/2022.html,F,6-7,195,sophomore,15,1,9,15.7,.633,,0.0,.682,2.9,1.4,2.4,0.1,0.5,0.8,0.9,1.8,8.7,26.3,.651,.633,.000,11.1,17.4,1.8,24.4,.206,1.2,16,1,1,3,11,4.315347288715269,0.3399346342395189,0.4988876515698588,0.9092121131323905,2.8331372481167705,undrafted
3,Toneari Lane,2021,https://www.sports-reference.com//cbb/schools/winthrop/2021.html,G,6-5,210,freshman,12,0,12,4.5,.357,.400,1.3,,0.0,0.3,0.6,0.0,0.3,0.0,0.1,0.3,2.2,15.6,.464,.464,.536,6.1,14.9,0.0,25.2,.150,1.3,6,0,2,0,6,2.3033791601808753,0.0,0.5951190357119042,0.0,1.6244657241348273,undrafted
4,Nate Buss,2022,https://www.sports-reference.com//cbb/schools/winthrop/2022.html,G,5-11,175,senior,4,0,4,3.3,.222,.286,1.8,.800,1.3,0.0,0.5,0.5,0.3,0.0,0.3,0.5,2.5,21.4,.440,.333,.778,0.0,17.6,29.0,48.1,.159,-7.3,6,2,1,0,1,2.29128784747792,0.8660254037844386,0.4330127018922193,0.0,0.5,undrafted
5,Johnny Davis,2022,https://www.sports-reference.com//cbb/schools/wisconsin/2022.html,G,6-5,196,sophomore,15,15,14,34.7,.441,.357,4.7,.796,6.2,1.3,6.2,2.5,1.5,0.7,2.3,1.5,22.1,27.3,.539,.489,.266,4.2,20.4,17.9,33.9,.208,11.3,37,5,4,2,14,6.180255298574287,1.4996295838935991,1.14697670227235,0.6992058987801011,2.729265265394496,undrafted
6,Ben Carlson,2022,https://www.sports-reference.com//cbb/schools/wisconsin/2022.html,F,6-9,218,sophomore,16,1,14,8.6,.314,.000,0.7,.500,0.4,0.6,1.3,0.2,0.0,0.1,0.3,0.3,1.6,6.0,.330,.314,.314,7.9,17.4,3.9,15.7,.024,-2.0,5,2,0,1,7,1.8016919131749467,0.5266343608235224,0.0,0.24206145913796356,2.2211694554896075,undrafted
7,Steven Crowl,2022,https://www.sports-reference.com//cbb/schools/wisconsin/2022.html,F,7-0,217,sophomore,17,17,15,23.5,.487,.316,2.2,.759,1.7,1.7,3.1,1.2,0.3,0.3,1.0,2.5,8.8,17.5,.565,.538,.319,8.0,14.8,10.8,19.3,.158,4.8,21,3,1,1,9,5.3162934247976485,1.1129934075543824,0.4556450995538137,0.4556450995538137,2.7122686784467067,undrafted
8,Jordan Davis,2022,https://www.sports-reference.com//cbb/schools/wisconsin/2022.html,G,6-4,202,sophomore,15,0,13,5.7,.500,.455,0.7,.000,0.1,0.3,0.7,0.1,0.3,0.1,0.3,0.5,1.4,12.7,.637,.656,.688,5.2,14.8,2.2,12.4,.120,3.8,4,1,1,1,4,1.5405626677721793,0.24944382578492946,0.44221663871405337,0.24944382578492946,1.1547005383792515,undrafted
9,Carter Gilmore,2022,https://www.sports-reference.com//cbb/schools/wisconsin/2022.html,F,6-7,215,sophomore,16,0,15,9.7,.304,.091,0.7,.571,0.4,0.4,0.9,0.5,0.1,0.3,0.2,1.2,1.2,5.7,.361,.326,.478,4.2,11.0,8.8,9.8,.061,1.0,5,3,1,2,5,1.589762167747113,0.7905694150420949,0.33071891388307384,0.5590169943749475,1.6476782908080085,undrafted
10,Justin Taphorn,2022,https://www.sports-reference.com//cbb/schools/wisconsin/2022.html,G,6-5,198,sophomore,3,0,3,1.3,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,.025,-3.8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
11,Morgan Safford,2022,https://www.sports-reference.com//cbb/schools/wofford/2022.html,G,6-5,190,sophomore,17,9,10,25.9,.339,.257,4.1,.600,1.2,1.2,1.6,1.2,0.8,0.1,0.6,2.8,6.2,8.9,.436,.420,.625,6.3,8.5,7.8,15.8,.093,-3.0,15,4,4,1,7,4.222201987041497,1.097338712128096,1.042355596862903,0.32218973970892123,2.0929937499596702,undrafted
12,Max Klesmit,2022,https://www.sports-reference.com//cbb/schools/wofford/2022.html,G,6-3,180,sophomore,17,17,11,28.7,.441,.333,6.0,.867,3.5,0.4,2.1,1.6,1.9,0.1,2.5,2.8,14.8,19.4,.582,.532,.543,1.9,10.3,11.4,28.0,.167,2.3,27,4,4,1,5,5.762304421768686,1.1852612752711698,1.1823383083671637,0.32218973970892123,1.818779392204742,undrafted
13,Sam Godwin,2022,https://www.sports-reference.com//cbb/schools/wofford/2022.html,F,6-9,210,sophomore,16,11,9,15.1,.676,.500,0.1,.613,1.9,2.1,2.1,0.4,0.6,0.2,1.0,2.2,7.0,25.5,.677,.684,.029,18.0,19.0,6.0,21.4,.230,0.6,17,2,2,1,8,6.072478900745559,0.6091746465505602,0.7880950133074057,0.3903123748998999,1.996089927833914,undrafted
14,Keaton Turner,2022,https://www.sports-reference.com//cbb/schools/wofford/2022.html,G,6-0,155,sophomore,11,0,7,5.9,.368,.286,0.6,.500,0.4,0.2,0.6,0.5,0.1,0.0,0.4,0.4,1.6,8.2,.431,.421,.368,4.1,15.0,13.6,20.1,.056,-9.0,9,2,1,0,3,2.962576497600059,0.7820295697311479,0.2874797872880344,0.0,1.3360853142453697,undrafted
15,Nick Pringle,2021,https://www.sports-reference.com//cbb/schools/wofford/2021.html,F,6-8,200,freshman,15,0,10,6.1,.591,.000,0.1,.364,0.7,0.9,1.3,0.1,0.5,0.1,0.6,0.9,2.0,19.4,.551,.591,.091,17.5,24.1,4.1,20.6,.136,-8.9,17,2,3,1,11,4.179314138308661,0.4988876515698589,0.8844332774281067,0.24944382578492946,2.8015868519267597,undrafted
16,Austin Patterson,2022,https://www.sports-reference.com//cbb/schools/wofford/2022.html,G,6-3,180,sophomore,18,0,11,19.1,.500,.490,2.7,.591,1.2,0.1,2.2,0.9,1.1,0.1,0.9,0.9,6.5,16.9,.647,.650,.613,0.4,15.8,8.9,16.4,.156,5.5,20,2,3,1,4,4.8218253804964775,0.7049209744694178,0.9938079899999066,0.3142696805273545,0.8534606386520676,undrafted
17,Jackson Gore,2022,https://www.sports-reference.com//cbb/schools/wofford/2022.html,G,6-3,180,sophomore,3,0,3,0.7,,,0.0,1.000,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,19.9,1.053,,,0.0,0.0,0.0,12.5,.380,-27.7,1,0,0,0,0,0.4714045207910317,0.0,0.0,0.0,0.0,undrafted
18,Alex Huibregtse,2022,https://www.sports-reference.com//cbb/schools/wright-state/2022.html,G,6-3,195,sophomore,3,1,1,13.0,.200,.125,2.7,1.000,1.3,0.0,1.3,0.7,1.0,0.0,0.0,1.3,3.0,9.7,.378,.250,.800,0.0,11.5,8.2,15.1,.070,11.4,5,2,2,0,2,2.160246899469287,0.9428090415820634,0.816496580927726,0.0,0.4714045207910317,undrafted
19,Andrew Welage,2022,https://www.sports-reference.com//cbb/schools/wright-state/2022.html,G,6-6,180,sophomore,15,0,8,14.3,.439,.304,1.5,.818,0.7,0.1,1.6,0.9,0.2,0.1,0.9,1.0,3.5,8.5,.562,.524,.561,1.1,12.6,10.3,13.6,.048,-4.7,11,4,1,1,5,3.403266404826725,1.1469767022723503,0.4,0.24944382578492946,1.3888444437333105,undrafted
20,Andre Harris,2021,https://www.sports-reference.com//cbb/schools/wright-state/2021.html,G,6-3,190,sophomore,11,0,11,4.5,.417,.000,0.2,.750,0.4,0.4,0.8,0.6,0.1,0.0,0.8,0.5,1.2,7.4,.468,.417,.167,9.5,18.2,22.5,22.3,.031,-6.6,4,2,1,0,3,1.526623238522424,0.7713892158398701,0.28747978728803447,0.0,0.8331955809010617,undrafted
21,Marcus Williams,2022,https://www.sports-reference.com//cbb/schools/texas-am/2022.html,G,6-2,180,sophomore,17,17,15,26.4,.424,.347,4.2,.606,1.9,0.4,1.9,4.1,1.6,0.1,2.6,1.9,10.2,15.2,.519,.507,.477,1.6,8.7,28.3,23.5,.138,1.5,18,8,4,1,5,3.6337518144659997,2.127428390591191,1.3310245292923248,0.32218973970892123,1.6365209109698302,undrafted
22,Xavier DuSell,2022,https://www.sports-reference.com//cbb/schools/wyoming/2022.html,G,6-4,190,sophomore,14,14,12,33.1,.421,.387,6.6,.684,1.4,0.1,2.8,1.7,0.6,0.1,1.3,2.4,10.8,12.0,.581,.570,.769,0.3,8.9,9.3,16.8,.132,2.6,22,6,3,1,5,6.44956888291847,1.7083229633001997,0.8949974347244049,0.3499271061118826,1.2453996981544782,undrafted
23,Drake Jeffries,2022,https://www.sports-reference.com//cbb/schools/wyoming/2022.html,G,6-5,185,senior,15,15,13,32.6,.505,.495,6.6,.818,0.7,0.3,4.4,0.7,0.3,0.5,0.5,1.3,10.9,16.6,.744,.738,.943,1.3,14.2,3.7,12.6,.192,6.3,33,3,1,1,7,8.30635633449201,0.7888106377466155,0.44221663871405337,0.4988876515698588,2.0154955277107964,undrafted
24,Graham Ike,2022,https://www.sports-reference.com//cbb/schools/wyoming/2022.html,F,6-9,245,sophomore,15,15,13,29.0,.550,.286,0.5,.685,7.4,2.5,6.0,1.4,0.9,0.1,3.2,3.1,20.0,28.0,.589,.554,.035,10.9,21.8,11.7,36.7,.237,4.4,35,3,4,1,14,5.977736472389306,0.9521904571390466,0.9568466729604881,0.24944382578492946,2.55255862921022,undrafted
25,Jeremiah Oden,2022,https://www.sports-reference.com//cbb/schools/wyoming/2022.html,F,6-8,180,sophomore,15,15,13,25.3,.543,.290,2.1,.643,1.9,1.3,3.5,0.5,0.4,0.9,1.0,1.2,8.5,17.0,.603,.592,.337,6.2,14.4,3.9,16.7,.167,5.2,17,2,2,3,10,4.4701478971307225,0.618241233033047,0.7118052168020875,0.9977753031397176,2.4073960113690385,undrafted
26,Eoin Nelson,2022,https://www.sports-reference.com//cbb/schools/wyoming/2022.html,F,6-10,225,junior,6,0,5,3.0,1.000,,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.7,1.3,22.9,1.000,1.000,.000,20.7,17.5,0.0,17.6,.218,3.1,4,0,0,0,3,1.49071198499986,0.0,0.0,0.0,1.1547005383792515,undrafted
27,Terrin Dickey,2021,https://www.sports-reference.com//cbb/schools/wyoming/2021.html,F,6-7,185,freshman,1,0,0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,undrafted
28,John Grigsby,2022,https://www.sports-reference.com//cbb/schools/wyoming/2022.html,F,6-9,215,sophomore,6,0,5,2.0,.286,.167,1.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.8,8.7,.357,.357,.857,10.4,8.8,0.0,30.7,.029,-23.2,5,0,0,0,1,1.8633899812498247,0.0,0.0,0.0,0.4714045207910317,undrafted
29,Dwon Odom,2022,https://www.sports-reference.com//cbb/schools/xavier/2022.html,G,6-1,180,sophomore,16,1,13,20.0,.609,.333,0.4,.800,1.6,0.4,1.9,2.4,1.3,0.5,1.8,1.4,6.3,17.3,.659,.625,.094,2.2,10.2,23.3,16.2,.164,7.0,19,6,4,2,5,4.723610906922796,2.207055447876197,1.25,0.7071067811865476,1.479019945774904,undrafted
30,Colby Jones,2022,https://www.sports-reference.com//cbb/schools/xavier/2022.html,G,6-5,195,sophomore,15,15,12,29.9,.483,.303,2.2,.687,4.5,2.9,5.4,2.4,1.3,0.6,1.8,1.8,11.2,21.3,.568,.526,.284,11.0,19.6,15.4,19.2,.209,8.3,19,7,3,3,13,4.548992562461861,1.9595917942265422,1.1352924243950933,0.9521904571390465,3.0868898407440604,undrafted
31,Bryan Griffin,2021,https://www.sports-reference.com//cbb/schools/xavier/2021.html,F,6-8,230,senior,18,0,12,11.0,.588,.000,0.1,.500,1.2,1.1,2.8,0.3,0.1,0.8,0.7,1.2,3.9,20.1,.578,.588,.020,11.5,26.4,4.7,18.8,.143,1.1,9,1,1,3,9,2.9149465827433123,0.44790320823880836,0.31426968052735443,0.7856742013183862,2.7666443551086073,undrafted
32,C.J. Wilcher,2022,https://www.sports-reference.com//cbb/schools/nebraska/2022.html,G,6-5,195,sophomore,19,1,6,25.0,.455,.375,4.2,.571,1.1,0.6,1.8,0.9,0.8,0.1,0.9,1.3,8.0,12.5,.580,.579,.661,2.8,7.7,7.3,15.6,.074,1.6,17,4,3,1,4,4.553772293962793,0.9986139979479093,0.8931875130777442,0.3068922049918579,1.3885164166603075,undrafted
33,Dieonte Miles,2022,https://www.sports-reference.com//cbb/schools/xavier/2022.html,F,6-10,220,sophomore,13,9,10,11.2,.529,,0.0,.364,1.7,0.8,1.5,0.2,0.2,1.1,0.5,1.8,2.0,10.1,.474,.529,.000,8.0,14.2,2.4,11.4,.110,1.2,9,1,1,3,7,2.7174648819470297,0.36080121229410994,0.36080121229410994,0.9970370305242862,2.1178307535286467,undrafted
34,Shemar Rathan-Mayes,2022,https://www.sports-reference.com//cbb/schools/youngstown-state/2022.html,G,5-11,165,sophomore,18,18,10,24.7,.425,.447,2.6,.815,3.0,0.5,2.1,1.7,0.4,0.0,1.6,1.9,8.9,13.3,.581,.518,.416,2.3,9.7,12.5,18.8,.115,-3.6,21,5,2,0,6,5.582434974714312,1.3333333333333333,0.6781419786518724,0.0,1.6034299655179791,undrafted
35,Myles Hunter,2022,https://www.sports-reference.com//cbb/schools/youngstown-state/2022.html,G,6-5,180,sophomore,18,14,10,17.4,.444,.258,1.7,.714,0.4,0.4,2.7,0.6,0.4,0.1,0.7,1.4,4.7,10.5,.504,.494,.383,2.9,17.3,6.0,15.6,.081,-4.3,14,2,2,1,8,3.941313311230655,0.7617394000445605,0.6781419786518724,0.3142696805273545,1.760331057528318,undrafted
36,Alex Vargo,2021,https://www.sports-reference.com//cbb/schools/youngstown-state/2021.html,G,6-5,200,freshman,22,5,12,13.8,.321,.302,2.9,.933,0.7,0.5,1.2,0.5,0.3,0.1,0.6,1.0,4.8,9.7,.441,.406,.563,3.5,10.4,7.4,21.3,.058,-5.7,16,4,2,1,6,5.195555952243471,1.075650869654476,0.5378254348272379,0.34317429251230674,1.7721444263289023,undrafted
