,season,school_url,school_name,games_played,win_pct,ncaa_tournament,pace,eff_fg_pct,srs_off,srs_def,sos,team_ppg,opp_ppg,off_rating,def_rating,rank
0,2011,https://www.sports-reference.com//cbb/schools/air-force/2011.html,Air Force,32,0.5,0,62.5,0.54,-1.94,4.65,3.31,64.8,65.1,106.44,101.45,
1,2011,https://www.sports-reference.com//cbb/schools/akron/2011.html,Akron,36,0.639,1,67.0,0.499,0.77,1.37,-1.02,70.1,65.7,101.24,96.90,
2,2011,https://www.sports-reference.com//cbb/schools/alabama-am/2011.html,Alabama A&M,28,0.464,0,71.6,0.435,-10.32,-4.86,-11.75,64.6,66.8,83.27,102.89,
3,2011,https://www.sports-reference.com//cbb/schools/alabama-birmingham/2011.html,Alabama-Birmingham,31,0.71,1,63.1,0.508,1.49,7.07,2.78,68.4,62.6,107.74,93.07,
4,2011,https://www.sports-reference.com//cbb/schools/alabama-state/2011.html,Alabama State,35,0.486,1,66.5,0.44,-11.22,-2.15,-10.31,61.3,63.8,87.47,104.82,
5,2011,https://www.sports-reference.com//cbb/schools/alabama/2011.html,Alabama,37,0.676,0,65.3,0.487,0.14,11.56,4.27,66.8,59.4,104.28,86.24,
6,2011,https://www.sports-reference.com//cbb/schools/albany-ny/2011.html,Albany (NY),32,0.5,0,61.0,0.494,-7.07,0.01,-5.96,62.9,64.0,96.92,106.23,
7,2011,https://www.sports-reference.com//cbb/schools/alcorn-state/2011.html,Alcorn State,28,0.143,0,77.6,0.404,-5.29,-17.72,-8.02,65.6,80.6,81.92,110.00,
8,2011,https://www.sports-reference.com//cbb/schools/american/2011.html,American,31,0.71,0,61.9,0.506,-5.7,2.57,-5.64,66.2,63.6,100.43,103.58,
9,2011,https://www.sports-reference.com//cbb/schools/appalachian-state/2011.html,Appalachian State,31,0.516,0,68.9,0.511,0.38,-5.19,-2.95,73.1,73.2,101.50,107.29,
10,2011,https://www.sports-reference.com//cbb/schools/arizona-state/2011.html,Arizona State,31,0.387,0,64.4,0.501,-1.63,5.93,7.2,64.0,66.9,103.55,96.95,
11,2011,https://www.sports-reference.com//cbb/schools/arizona/2011.html,Arizona,38,0.789,1,66.9,0.541,11.12,5.42,7.99,76.4,67.9,117.75,92.45,17
